District,City,Store_ID,Store_Type,Product_Name,Category,Brand,Units_Sold,Revenue,Profit,Price,Stock_Level,Reorder_Level,Supplier,Delivery_Time_Days,Order_Date
Kanchipuram,Chengalpattu,TN-KAN-995,Supermarket,Floor Cleaner 1L,Home Care,Lizol,224,65136.96,13708.73,290.79,808,246,Reliance Retail,6,20-07-2023
Kanchipuram,Kanchipuram,TN-KAN-360,Wholesale,Shampoo 340ml,Personal Care,Clinic Plus,47,16649.75,3752.08,354.25,418,115,HUL,1,15-01-2023
Sivaganga,Sivaganga,TN-SIV-632,Supermarket,Milk 1L,Dairy,Aavin,110,91471.6,10352.79,831.56,370,77,HUL,7,03-06-2024
Thoothukudi,Thoothukudi,TN-THO-678,Convenience,Soft Drink 2L,Beverages,Coca-Cola,146,173786.72,22503.79,1190.32,208,155,Metro Cash & Carry,9,15-09-2025
Tirunelveli,Palayamkottai,TN-TIR-672,Mall Outlet,Detergent 1kg,Home Care,Surf Excel,134,158982.96,26316.49,1186.44,792,230,Reliance Retail,3,01-09-2023
Vellore,Katpadi,TN-VEL-901,Hypermarket,Toor Dal 1kg,Pulses,24 Mantra,114,70662.9,14642.5,619.85,820,190,Metro Cash & Carry,1,26-11-2023
Cuddalore,Cuddalore,TN-CUD-923,Supermarket,Sugar 1kg,Staples,Madhur,246,273679.92,37514.81,1112.52,65,117,HUL,6,13-06-2023
Virudhunagar,Virudhunagar,TN-VIR-841,Wholesale,Milk 1L,Dairy,Aavin,271,97026.13,23548.82,358.03,58,292,HUL,8,18-06-2025
Chennai,Chennai,TN-CHE-970,Mall Outlet,Toothpaste 150g,Personal Care,Colgate,104,6204.64,1054.19,59.66,528,228,HUL,10,14-12-2023
Coimbatore,Mettupalayam,TN-COI-344,Supermarket,Tea 500g,Beverages,Tata Tea,49,58615.76,12071.01,1196.24,361,221,Reliance Retail,7,15-02-2024
Nagapattinam,Nagapattinam,TN-NAG-854,Supermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,286,101730.2,21968.94,355.7,936,199,P&G,6,20-07-2024
Vellore,Vellore,TN-VEL-565,Wholesale,Mineral Water 1L,Beverages,Bisleri,7,2296.77,301.86,328.11,109,193,ITC,9,25-08-2024
Dindigul,Dindigul,TN-DIN-922,Mall Outlet,Bath Soap (Pack),Personal Care,Lux,280,274262.8,45247.54,979.51,710,163,Reliance Retail,10,17-09-2025
Vellore,Katpadi,TN-VEL-894,Wholesale,Paneer 200g,Dairy,Milky Mist,19,11185.68,1136.06,588.72,391,212,HUL,4,08-10-2024
Kanchipuram,Chengalpattu,TN-KAN-628,Mall Outlet,Rice 5kg,Staples,Aachi,139,43498.66,2984.09,312.94,689,241,P&G,2,01-01-2024
Karur,Karur,TN-KAR-462,Hypermarket,Mineral Water 1L,Beverages,Bisleri,142,33467.98,6667.87,235.69,952,282,HUL,8,13-02-2024
Vellore,Vellore,TN-VEL-993,Convenience,Coffee 200g,Beverages,Bru,122,31629.72,3161.05,259.26,633,141,HUL,2,03-09-2023
Madurai,Thirumangalam,TN-MAD-728,Supermarket,Garbage Bags,Home Care,Supreme,26,26536.9,3296.93,1020.65,322,176,Metro Cash & Carry,5,02-10-2025
Tirunelveli,Palayamkottai,TN-TIR-507,Hypermarket,Mineral Water 1L,Beverages,Bisleri,70,5872.3,1232.33,83.89,489,290,Metro Cash & Carry,1,26-10-2025
Namakkal,Rasipuram,TN-NAM-981,Hypermarket,Paneer 200g,Dairy,Milky Mist,66,55699.38,7910.1,843.93,705,52,ITC,4,16-02-2025
Sivaganga,Sivaganga,TN-SIV-433,Convenience,Soft Drink 2L,Beverages,Coca-Cola,137,32995.08,3384.3,240.84,275,170,Metro Cash & Carry,6,19-01-2025
Tirunelveli,Palayamkottai,TN-TIR-534,Hypermarket,Curd 500g,Dairy,Aavin,195,87904.05,11437.94,450.79,461,96,Metro Cash & Carry,3,13-04-2024
Tiruchirappalli,Srirangam,TN-TIR-923,Hypermarket,Garbage Bags,Home Care,Supreme,226,232879.44,20775.79,1030.44,819,295,Local Distributor,3,26-08-2025
Chennai,Chennai,TN-CHE-531,Wholesale,Sugar 1kg,Staples,Madhur,269,174876.9,19786.53,650.1,498,126,P&G,9,08-04-2023
Cuddalore,Cuddalore,TN-CUD-807,Hypermarket,Wheat Flour 1kg,Staples,Annapurna,115,112735.65,16381.38,980.31,644,74,Reliance Retail,6,16-06-2024
Namakkal,Rasipuram,TN-NAM-673,Mall Outlet,Bath Soap (Pack),Personal Care,Lux,181,7857.21,583.38,43.41,888,223,Metro Cash & Carry,4,24-12-2023
Thanjavur,Kumbakonam,TN-THA-432,Mall Outlet,Detergent 1kg,Home Care,Surf Excel,233,249256.41,31459.7,1069.77,293,168,Local Distributor,3,10-12-2023
Dindigul,Palani,TN-DIN-746,Mall Outlet,Mineral Water 1L,Beverages,Bisleri,212,216600.4,13920.65,1021.7,165,137,HUL,6,10-10-2024
Thanjavur,Kumbakonam,TN-THA-719,Wholesale,Bath Soap (Pack),Personal Care,Lux,232,218439.6,51934.88,941.55,765,200,Metro Cash & Carry,8,27-04-2025
Tirunelveli,Tirunelveli,TN-TIR-974,Supermarket,Sugar 1kg,Staples,Madhur,125,100148.75,23844.16,801.19,717,241,ITC,4,08-12-2023
Cuddalore,Cuddalore,TN-CUD-197,Supermarket,Detergent 1kg,Home Care,Surf Excel,285,23800.35,4859.72,83.51,536,245,ITC,2,21-06-2024
Virudhunagar,Virudhunagar,TN-VIR-186,Wholesale,Toothpaste 150g,Personal Care,Colgate,122,38055.46,4065.66,311.93,641,82,HUL,9,16-12-2023
Chennai,Chennai,TN-CHE-779,Convenience,Biscuits Family Pack,Snacks,Britannia,248,141679.92,31761.76,571.29,957,119,Metro Cash & Carry,8,04-10-2023
Pudukkottai,Pudukkottai,TN-PUD-705,Mall Outlet,Paneer 200g,Dairy,Milky Mist,293,156248.11,27805.49,533.27,546,129,P&G,8,10-04-2024
Madurai,Thirumangalam,TN-MAD-415,Convenience,Curd 500g,Dairy,Aavin,138,28117.5,1465.24,203.75,535,258,HUL,6,10-08-2024
Karur,Karur,TN-KAR-804,Wholesale,Detergent 1kg,Home Care,Surf Excel,158,4863.24,661.82,30.78,299,202,HUL,1,04-02-2025
Erode,Gobichettipalayam,TN-ERO-674,Wholesale,Milk 1L,Dairy,Aavin,132,28071.12,5541.9,212.66,399,262,Reliance Retail,4,22-06-2024
Madurai,Thirumangalam,TN-MAD-740,Hypermarket,Floor Cleaner 1L,Home Care,Lizol,144,51252.48,10177.99,355.92,828,118,Reliance Retail,4,21-05-2023
Tirunelveli,Tirunelveli,TN-TIR-396,Supermarket,Paneer 200g,Dairy,Milky Mist,236,80504.32,14052.09,341.12,192,132,ITC,3,12-04-2023
Pudukkottai,Pudukkottai,TN-PUD-290,Supermarket,Toothpaste 150g,Personal Care,Colgate,142,23792.1,3275.78,167.55,8,109,ITC,3,31-01-2023
Karur,Karur,TN-KAR-450,Wholesale,Toothpaste 150g,Personal Care,Colgate,260,311376,44444.84,1197.6,810,58,P&G,2,27-10-2023
Coimbatore,Mettupalayam,TN-COI-894,Wholesale,Sunflower Oil 1L,Cooking Oil,Gold Winner,283,162659.91,14385.39,574.77,861,114,Reliance Retail,1,07-09-2023
Vellore,Katpadi,TN-VEL-889,Wholesale,Shampoo 340ml,Personal Care,Clinic Plus,22,5610.66,1105.66,255.03,96,183,Local Distributor,4,26-08-2025
Cuddalore,Chidambaram,TN-CUD-430,Hypermarket,Wheat Flour 1kg,Staples,Annapurna,286,181521.34,18272.4,634.69,653,126,HUL,6,17-04-2023
Erode,Erode,TN-ERO-341,Wholesale,Biscuits Family Pack,Snacks,Britannia,12,2609.88,274.61,217.49,122,151,HUL,1,28-03-2023
Sivaganga,Karaikudi,TN-SIV-804,Mall Outlet,Sugar 1kg,Staples,Madhur,195,181260.3,18079.71,929.54,511,73,Local Distributor,10,24-11-2024
Coimbatore,Coimbatore,TN-COI-464,Hypermarket,Garbage Bags,Home Care,Supreme,59,9940.32,959.59,168.48,571,251,Local Distributor,6,17-06-2025
Erode,Erode,TN-ERO-805,Wholesale,Instant Noodles 4-pack,Snacks,Maggi,73,23054.86,1334.82,315.82,723,162,Metro Cash & Carry,5,30-09-2025
Erode,Erode,TN-ERO-656,Convenience,Biscuits Family Pack,Snacks,Britannia,244,84150.72,18199.27,344.88,936,270,Metro Cash & Carry,3,22-05-2023
Nagapattinam,Nagapattinam,TN-NAG-560,Convenience,Bath Soap (Pack),Personal Care,Lux,282,127799.58,6408.38,453.19,653,179,Reliance Retail,3,08-02-2023
Virudhunagar,Sivakasi,TN-VIR-894,Mall Outlet,Shampoo 340ml,Personal Care,Clinic Plus,169,147161.82,26733.1,870.78,551,259,Reliance Retail,4,09-12-2025
Karur,Karur,TN-KAR-727,Convenience,Biscuits Family Pack,Snacks,Britannia,214,166121.78,11976.19,776.27,535,218,ITC,1,23-09-2023
Tirunelveli,Tirunelveli,TN-TIR-306,Supermarket,Detergent 1kg,Home Care,Surf Excel,103,14062.59,2309.11,136.53,856,149,Local Distributor,8,12-12-2025
Virudhunagar,Sivakasi,TN-VIR-150,Convenience,Shampoo 340ml,Personal Care,Clinic Plus,41,1453.04,340.31,35.44,671,175,ITC,8,05-05-2023
Namakkal,Rasipuram,TN-NAM-941,Convenience,Wheat Flour 1kg,Staples,Annapurna,141,90837.84,17882.34,644.24,854,127,ITC,4,29-11-2025
Tiruchirappalli,Tiruchirappalli,TN-TIR-842,Hypermarket,Garbage Bags,Home Care,Supreme,202,49199.12,7637.59,243.56,254,195,Local Distributor,3,30-04-2025
Tiruchirappalli,Srirangam,TN-TIR-790,Wholesale,Curd 500g,Dairy,Aavin,58,12576.14,1082.55,216.83,411,179,P&G,3,29-12-2025
Virudhunagar,Sivakasi,TN-VIR-460,Convenience,Garbage Bags,Home Care,Supreme,171,173895.03,23035.64,1016.93,648,160,Local Distributor,6,07-05-2024
Sivaganga,Sivaganga,TN-SIV-484,Mall Outlet,Bath Soap (Pack),Personal Care,Lux,189,218247.75,30445.55,1154.75,406,50,Local Distributor,1,05-08-2024
Virudhunagar,Virudhunagar,TN-VIR-630,Hypermarket,Toothpaste 150g,Personal Care,Colgate,8,2995.12,282.67,374.39,876,130,ITC,5,13-11-2025
Pudukkottai,Pudukkottai,TN-PUD-196,Supermarket,Paneer 200g,Dairy,Milky Mist,187,38187.27,3933.2,204.21,910,199,HUL,4,08-06-2024
Thanjavur,Thanjavur,TN-THA-684,Wholesale,Mineral Water 1L,Beverages,Bisleri,116,102825.88,20021.85,886.43,811,173,HUL,8,15-07-2023
Virudhunagar,Sivakasi,TN-VIR-138,Mall Outlet,Milk 1L,Dairy,Aavin,45,42324.3,9919.73,940.54,342,139,Reliance Retail,7,04-09-2023
Vellore,Vellore,TN-VEL-749,Wholesale,Wheat Flour 1kg,Staples,Annapurna,161,102841.97,11709.93,638.77,578,88,P&G,9,28-03-2024
Salem,Salem,TN-SAL-789,Wholesale,Paneer 200g,Dairy,Milky Mist,299,184058.42,17378.27,615.58,296,251,Reliance Retail,3,28-09-2023
Dindigul,Dindigul,TN-DIN-587,Mall Outlet,Wheat Flour 1kg,Staples,Annapurna,285,139949.25,9378.81,491.05,513,161,Local Distributor,3,04-10-2023
Karur,Karur,TN-KAR-599,Wholesale,Mineral Water 1L,Beverages,Bisleri,105,71628.9,17865.38,682.18,536,113,HUL,2,29-06-2024
Kanchipuram,Chengalpattu,TN-KAN-801,Mall Outlet,Sunflower Oil 1L,Cooking Oil,Gold Winner,62,50384.92,6787.26,812.66,356,98,P&G,6,19-02-2023
Thanjavur,Thanjavur,TN-THA-458,Mall Outlet,Paneer 200g,Dairy,Milky Mist,79,42640.25,10013.75,539.75,239,101,Local Distributor,6,16-11-2023
Madurai,Madurai,TN-MAD-857,Supermarket,Shampoo 340ml,Personal Care,Clinic Plus,80,83610.4,17894.87,1045.13,14,137,Local Distributor,2,16-09-2024
Tiruvallur,Avadi,TN-TIR-123,Convenience,Coffee 200g,Beverages,Bru,280,75602.8,12042.38,270.01,768,116,Metro Cash & Carry,8,17-10-2023
Chennai,Chennai,TN-CHE-696,Mall Outlet,Wheat Flour 1kg,Staples,Annapurna,135,29832.3,3186.17,220.98,808,228,Metro Cash & Carry,5,19-04-2023
Tiruvallur,Tiruvallur,TN-TIR-168,Wholesale,Bath Soap (Pack),Personal Care,Lux,189,196531.65,10576.48,1039.85,888,276,Local Distributor,7,18-04-2024
Cuddalore,Cuddalore,TN-CUD-423,Wholesale,Soft Drink 2L,Beverages,Coca-Cola,277,34309.22,3080.11,123.86,989,167,Metro Cash & Carry,1,23-03-2023
Vellore,Katpadi,TN-VEL-441,Wholesale,Milk 1L,Dairy,Aavin,85,3542.8,662.02,41.68,363,210,P&G,4,23-10-2025
Thoothukudi,Thoothukudi,TN-THO-740,Convenience,Milk 1L,Dairy,Aavin,20,22681.6,5439.58,1134.08,230,88,P&G,7,09-10-2023
Madurai,Thirumangalam,TN-MAD-633,Mall Outlet,Shampoo 340ml,Personal Care,Clinic Plus,218,66191.34,5331.7,303.63,993,129,Metro Cash & Carry,6,08-07-2025
Pudukkottai,Pudukkottai,TN-PUD-311,Hypermarket,Mineral Water 1L,Beverages,Bisleri,282,233264.76,21101.61,827.18,141,129,Local Distributor,9,04-10-2023
Kanchipuram,Kanchipuram,TN-KAN-771,Mall Outlet,Tea 500g,Beverages,Tata Tea,167,16703.34,2615.61,100.02,736,80,HUL,6,26-10-2023
Chennai,Chennai,TN-CHE-523,Wholesale,Toothpaste 150g,Personal Care,Colgate,231,207858.42,44552.31,899.82,652,288,Local Distributor,5,08-11-2023
Erode,Erode,TN-ERO-234,Hypermarket,Rice 5kg,Staples,Aachi,141,103580.01,17864.69,734.61,610,109,HUL,1,05-01-2025
Madurai,Thirumangalam,TN-MAD-237,Mall Outlet,Soft Drink 2L,Beverages,Coca-Cola,245,210744.1,26299.15,860.18,872,149,Reliance Retail,8,09-10-2023
Tirunelveli,Tirunelveli,TN-TIR-331,Supermarket,Curd 500g,Dairy,Aavin,12,13344.12,3203.12,1112.01,227,240,Local Distributor,4,23-02-2024
Madurai,Madurai,TN-MAD-549,Mall Outlet,Detergent 1kg,Home Care,Surf Excel,171,178317.09,40570.24,1042.79,437,153,ITC,10,18-02-2025
Dindigul,Palani,TN-DIN-726,Mall Outlet,Soft Drink 2L,Beverages,Coca-Cola,279,178495.83,40189.51,639.77,805,59,Metro Cash & Carry,2,13-07-2025
Tiruvallur,Tiruvallur,TN-TIR-998,Hypermarket,Floor Cleaner 1L,Home Care,Lizol,280,136309.6,26857.63,486.82,571,149,Metro Cash & Carry,1,24-01-2024
Thanjavur,Kumbakonam,TN-THA-507,Convenience,Toothpaste 150g,Personal Care,Colgate,241,52164.45,5679.87,216.45,941,63,Local Distributor,9,19-10-2023
Tiruvallur,Avadi,TN-TIR-192,Mall Outlet,Toor Dal 1kg,Pulses,24 Mantra,97,91073.3,21636.15,938.9,712,189,HUL,7,26-04-2025
Dindigul,Palani,TN-DIN-125,Hypermarket,Paneer 200g,Dairy,Milky Mist,108,114632.28,7799.11,1061.41,331,227,Local Distributor,3,11-09-2023
Madurai,Madurai,TN-MAD-823,Wholesale,Instant Noodles 4-pack,Snacks,Maggi,48,30628.8,3884.27,638.1,810,299,Metro Cash & Carry,10,24-11-2023
Cuddalore,Chidambaram,TN-CUD-144,Hypermarket,Biscuits Family Pack,Snacks,Britannia,294,308153.16,68574.71,1048.14,166,272,HUL,3,16-04-2023
Kanchipuram,Chengalpattu,TN-KAN-416,Wholesale,Toothpaste 150g,Personal Care,Colgate,97,15394.87,1174.85,158.71,207,50,Metro Cash & Carry,5,26-01-2023
Tiruvallur,Avadi,TN-TIR-975,Wholesale,Garbage Bags,Home Care,Supreme,7,5161.94,767.55,737.42,222,200,Local Distributor,8,18-07-2025
Kanchipuram,Chengalpattu,TN-KAN-181,Mall Outlet,Soft Drink 2L,Beverages,Coca-Cola,8,2470.08,393.9,308.76,634,210,Metro Cash & Carry,4,11-04-2023
Tirunelveli,Tirunelveli,TN-TIR-156,Convenience,Wheat Flour 1kg,Staples,Annapurna,79,81174.08,14887.27,1027.52,858,204,P&G,6,29-06-2023
Coimbatore,Coimbatore,TN-COI-526,Hypermarket,Tea 500g,Beverages,Tata Tea,150,111163.5,20932.39,741.09,609,196,Metro Cash & Carry,3,21-07-2025
Sivaganga,Karaikudi,TN-SIV-136,Supermarket,Toothpaste 150g,Personal Care,Colgate,170,77334.7,9727.77,454.91,69,244,Reliance Retail,9,13-05-2023
Thanjavur,Kumbakonam,TN-THA-237,Supermarket,Bath Soap (Pack),Personal Care,Lux,173,111052.16,17205.23,641.92,712,103,Metro Cash & Carry,1,12-08-2023
Sivaganga,Sivaganga,TN-SIV-595,Mall Outlet,Toothpaste 150g,Personal Care,Colgate,223,164672.12,18656.97,738.44,538,197,Metro Cash & Carry,6,23-09-2023
Virudhunagar,Sivakasi,TN-VIR-632,Wholesale,Detergent 1kg,Home Care,Surf Excel,97,103083.84,9952.16,1062.72,297,300,HUL,1,31-08-2023
Chennai,Chennai,TN-CHE-740,Supermarket,Coffee 200g,Beverages,Bru,217,110359.69,12885.43,508.57,573,256,Local Distributor,4,24-01-2023
Erode,Gobichettipalayam,TN-ERO-360,Supermarket,Toothpaste 150g,Personal Care,Colgate,158,97626.62,11206.05,617.89,6,79,Local Distributor,6,30-11-2024
Cuddalore,Cuddalore,TN-CUD-952,Hypermarket,Coffee 200g,Beverages,Bru,174,174680.34,40954.85,1003.91,490,284,Reliance Retail,1,06-10-2023
Karur,Karur,TN-KAR-742,Wholesale,Garbage Bags,Home Care,Supreme,176,99564.96,21190.74,565.71,950,240,ITC,9,05-09-2024
Sivaganga,Karaikudi,TN-SIV-668,Mall Outlet,Rice 5kg,Staples,Aachi,111,77847.63,9057.09,701.33,938,277,P&G,2,02-11-2023
Thoothukudi,Thoothukudi,TN-THO-447,Wholesale,Garbage Bags,Home Care,Supreme,89,61744.64,7897.96,693.76,609,79,P&G,6,06-03-2023
Thoothukudi,Thoothukudi,TN-THO-188,Wholesale,Shampoo 340ml,Personal Care,Clinic Plus,195,107883.75,25907.78,553.25,221,184,P&G,3,18-08-2023
Namakkal,Namakkal,TN-NAM-896,Hypermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,232,143160.24,30035.74,617.07,926,178,HUL,4,27-11-2024
Karur,Karur,TN-KAR-894,Convenience,Sugar 1kg,Staples,Madhur,55,54456.6,12939.15,990.12,692,83,HUL,1,29-07-2025
Cuddalore,Cuddalore,TN-CUD-104,Convenience,Wheat Flour 1kg,Staples,Annapurna,49,20250.72,4613.87,413.28,105,183,Local Distributor,5,16-02-2023
Sivaganga,Karaikudi,TN-SIV-754,Hypermarket,Biscuits Family Pack,Snacks,Britannia,107,26450.4,2786.02,247.2,326,247,Reliance Retail,2,12-07-2024
Salem,Salem,TN-SAL-380,Supermarket,Rice 5kg,Staples,Aachi,291,182337.69,16650.25,626.59,358,190,P&G,5,17-10-2023
Thanjavur,Thanjavur,TN-THA-275,Supermarket,Toothpaste 150g,Personal Care,Colgate,178,117102.64,7043.17,657.88,29,170,Local Distributor,1,05-08-2023
Cuddalore,Cuddalore,TN-CUD-188,Wholesale,Milk 1L,Dairy,Aavin,96,81745.92,18658.93,851.52,644,264,Local Distributor,8,29-12-2024
Thanjavur,Kumbakonam,TN-THA-937,Hypermarket,Garbage Bags,Home Care,Supreme,45,52602.3,10580.88,1168.94,476,195,HUL,2,17-08-2025
Tiruchirappalli,Srirangam,TN-TIR-417,Wholesale,Detergent 1kg,Home Care,Surf Excel,123,139972.77,11022.06,1137.99,917,207,P&G,6,13-03-2025
Tirunelveli,Palayamkottai,TN-TIR-907,Convenience,Paneer 200g,Dairy,Milky Mist,254,14150.34,2052.75,55.71,359,172,Reliance Retail,3,01-08-2024
Namakkal,Namakkal,TN-NAM-620,Supermarket,Milk 1L,Dairy,Aavin,59,23867.27,4293.49,404.53,811,127,Metro Cash & Carry,8,31-03-2025
Sivaganga,Karaikudi,TN-SIV-344,Mall Outlet,Shampoo 340ml,Personal Care,Clinic Plus,285,59177.4,8668.01,207.64,67,137,HUL,10,01-06-2025
Kanchipuram,Chengalpattu,TN-KAN-657,Hypermarket,Tea 500g,Beverages,Tata Tea,44,39267.8,7554.41,892.45,856,174,ITC,10,06-08-2025
Dindigul,Dindigul,TN-DIN-941,Wholesale,Tea 500g,Beverages,Tata Tea,162,185966.28,11887.25,1147.94,111,225,Metro Cash & Carry,7,01-11-2024
Karur,Karur,TN-KAR-192,Hypermarket,Sugar 1kg,Staples,Madhur,5,4566.75,831.95,913.35,463,186,P&G,7,04-07-2025
Erode,Erode,TN-ERO-797,Convenience,Toothpaste 150g,Personal Care,Colgate,296,283369.68,52681.76,957.33,940,291,Reliance Retail,6,02-07-2023
Sivaganga,Sivaganga,TN-SIV-726,Mall Outlet,Milk 1L,Dairy,Aavin,70,71817.2,4487.29,1025.96,922,190,ITC,1,05-01-2025
Tiruchirappalli,Srirangam,TN-TIR-986,Supermarket,Shampoo 340ml,Personal Care,Clinic Plus,226,191788.12,24712.6,848.62,325,232,Reliance Retail,7,20-02-2025
Kanchipuram,Kanchipuram,TN-KAN-778,Hypermarket,Detergent 1kg,Home Care,Surf Excel,76,18400.36,2335.36,242.11,946,142,Reliance Retail,3,13-08-2024
Salem,Salem,TN-SAL-111,Supermarket,Rice 5kg,Staples,Aachi,78,67952.04,10012.07,871.18,447,299,HUL,2,09-10-2023
Kanchipuram,Chengalpattu,TN-KAN-907,Mall Outlet,Curd 500g,Dairy,Aavin,97,53950.43,7273.86,556.19,839,165,Reliance Retail,6,07-04-2024
Tirunelveli,Palayamkottai,TN-TIR-719,Supermarket,Mineral Water 1L,Beverages,Bisleri,260,264999.8,25797.73,1019.23,513,118,Reliance Retail,9,21-01-2025
Coimbatore,Coimbatore,TN-COI-681,Wholesale,Instant Noodles 4-pack,Snacks,Maggi,62,43692.64,10588.8,704.72,81,86,Local Distributor,9,26-07-2024
Tiruvallur,Tiruvallur,TN-TIR-635,Mall Outlet,Sunflower Oil 1L,Cooking Oil,Gold Winner,130,75073.7,14889.91,577.49,983,221,ITC,9,01-10-2024
Virudhunagar,Virudhunagar,TN-VIR-451,Mall Outlet,Rice 5kg,Staples,Aachi,245,136161.2,31481.97,555.76,587,237,P&G,7,23-12-2024
Thanjavur,Kumbakonam,TN-THA-271,Supermarket,Soft Drink 2L,Beverages,Coca-Cola,160,140452.8,22857.46,877.83,62,211,Reliance Retail,10,13-12-2023
Sivaganga,Sivaganga,TN-SIV-772,Convenience,Soft Drink 2L,Beverages,Coca-Cola,18,6451.92,429.07,358.44,517,69,P&G,5,29-09-2023
Virudhunagar,Sivakasi,TN-VIR-381,Convenience,Rice 5kg,Staples,Aachi,62,45415.62,10537.62,732.51,756,88,Local Distributor,8,27-01-2025
Tirunelveli,Palayamkottai,TN-TIR-901,Hypermarket,Detergent 1kg,Home Care,Surf Excel,97,93436.22,20780.48,963.26,351,71,HUL,10,12-11-2023
Karur,Karur,TN-KAR-888,Wholesale,Shampoo 340ml,Personal Care,Clinic Plus,230,201636.4,16827.9,876.68,591,237,P&G,1,25-06-2024
Tiruchirappalli,Tiruchirappalli,TN-TIR-271,Wholesale,Milk 1L,Dairy,Aavin,248,93151.28,18558.54,375.61,770,286,Metro Cash & Carry,4,16-02-2025
Cuddalore,Chidambaram,TN-CUD-368,Hypermarket,Floor Cleaner 1L,Home Care,Lizol,227,7718,1817.16,34,459,147,Local Distributor,6,21-12-2025
Coimbatore,Coimbatore,TN-COI-644,Convenience,Curd 500g,Dairy,Aavin,144,59797.44,6184.11,415.26,100,115,Local Distributor,10,12-03-2025
Tiruvallur,Tiruvallur,TN-TIR-851,Mall Outlet,Coffee 200g,Beverages,Bru,271,113315.94,21309.7,418.14,184,130,Metro Cash & Carry,1,18-01-2023
Madurai,Madurai,TN-MAD-521,Supermarket,Floor Cleaner 1L,Home Care,Lizol,58,48075.62,5783.65,828.89,742,122,P&G,4,11-03-2023
Chennai,Chennai,TN-CHE-158,Mall Outlet,Coffee 200g,Beverages,Bru,67,57320.51,4241.46,855.53,876,204,HUL,7,14-01-2024
Tiruchirappalli,Tiruchirappalli,TN-TIR-359,Convenience,Paneer 200g,Dairy,Milky Mist,43,33271.68,7803.51,773.76,283,246,Reliance Retail,6,11-06-2024
Tirunelveli,Tirunelveli,TN-TIR-383,Supermarket,Milk 1L,Dairy,Aavin,203,83743.59,5193.08,412.53,978,258,P&G,3,21-06-2025
Madurai,Thirumangalam,TN-MAD-305,Mall Outlet,Milk 1L,Dairy,Aavin,96,75040.32,5379.35,781.67,553,246,Reliance Retail,4,06-08-2023
Tiruvallur,Avadi,TN-TIR-205,Supermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,41,28461.79,2849.57,694.19,456,54,Reliance Retail,3,02-01-2023
Coimbatore,Pollachi,TN-COI-499,Convenience,Sugar 1kg,Staples,Madhur,173,188128.85,31027.72,1087.45,527,231,Reliance Retail,8,12-06-2025
Cuddalore,Cuddalore,TN-CUD-653,Hypermarket,Rice 5kg,Staples,Aachi,201,230325.9,49196.54,1145.9,493,81,Metro Cash & Carry,9,05-01-2025
Dindigul,Palani,TN-DIN-510,Supermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,192,124965.12,30264.69,650.86,82,265,Reliance Retail,5,20-02-2024
Tirunelveli,Tirunelveli,TN-TIR-493,Hypermarket,Toothpaste 150g,Personal Care,Colgate,204,219875.28,38725.18,1077.82,367,174,ITC,8,24-01-2024
Salem,Salem,TN-SAL-297,Supermarket,Mineral Water 1L,Beverages,Bisleri,127,75855.83,4748.46,597.29,553,214,P&G,8,29-12-2025
Tiruvallur,Tiruvallur,TN-TIR-137,Convenience,Wheat Flour 1kg,Staples,Annapurna,177,168075.66,9843,949.58,121,104,Local Distributor,9,27-07-2025
Pudukkottai,Pudukkottai,TN-PUD-858,Mall Outlet,Shampoo 340ml,Personal Care,Clinic Plus,41,2604.32,203.97,63.52,669,54,Reliance Retail,10,04-04-2023
Vellore,Vellore,TN-VEL-114,Hypermarket,Wheat Flour 1kg,Staples,Annapurna,162,160132.14,11122.53,988.47,625,93,Metro Cash & Carry,2,06-08-2023
Tiruchirappalli,Srirangam,TN-TIR-709,Mall Outlet,Shampoo 340ml,Personal Care,Clinic Plus,37,35862.62,4850.14,969.26,830,263,Local Distributor,7,26-10-2024
Tiruchirappalli,Tiruchirappalli,TN-TIR-429,Hypermarket,Wheat Flour 1kg,Staples,Annapurna,93,38677.77,2867.92,415.89,144,243,Reliance Retail,3,27-01-2025
Pudukkottai,Pudukkottai,TN-PUD-549,Hypermarket,Mineral Water 1L,Beverages,Bisleri,25,4434.5,923.31,177.38,647,206,Reliance Retail,3,02-02-2023
Karur,Karur,TN-KAR-106,Supermarket,Tea 500g,Beverages,Tata Tea,50,42697.5,7205.04,853.95,290,156,Local Distributor,8,17-09-2023
Erode,Erode,TN-ERO-755,Convenience,Floor Cleaner 1L,Home Care,Lizol,235,118957,28266.32,506.2,625,227,ITC,10,04-01-2024
Karur,Karur,TN-KAR-742,Convenience,Instant Noodles 4-pack,Snacks,Maggi,219,5560.41,540.07,25.39,120,185,ITC,10,11-01-2025
Pudukkottai,Pudukkottai,TN-PUD-575,Hypermarket,Bath Soap (Pack),Personal Care,Lux,32,7954.88,1665.14,248.59,701,266,Reliance Retail,8,28-12-2023
Tirunelveli,Tirunelveli,TN-TIR-155,Convenience,Toothpaste 150g,Personal Care,Colgate,112,59685.92,6974.83,532.91,824,277,Reliance Retail,1,02-08-2023
